;accessionNumber;filingDate;reportDate;acceptanceDateTime;act;form;fileNumber;filmNumber;items;size;isXBRL;isInlineXBRL;primaryDocument;primaryDocDescription
302;0001771364-20-000014;2020-08-04;2020-07-31;2020-08-04T21:17:52.000Z;;4;;;;8332;0;0;xslF345X03/edgardoc.xml;PRIMARY DOCUMENT
303;0001771364-20-000013;2020-08-03;2020-07-30;2020-08-03T20:08:56.000Z;;4;;;;64725;0;0;xslF345X03/edgardoc.xml;PRIMARY DOCUMENT
304;0001790565-20-000009;2020-07-29;2020-07-27;2020-07-29T21:41:59.000Z;;4;;;;8285;0;0;xslF345X03/edgardoc.xml;PRIMARY DOCUMENT
305;0001564590-20-033670;2020-07-28;2020-06-30;2020-07-28T06:03:48.000Z;34;10-Q;001-34756;201051663;;19996231;1;1;tsla-10q_20200630.htm;10-Q
306;0001771340-20-000007;2020-07-22;2020-07-20;2020-07-22T21:50:02.000Z;;4;;;;24143;0;0;xslF345X03/edgardoc.xml;PRIMARY DOCUMENT
307;0001564590-20-033069;2020-07-22;2020-07-22;2020-07-22T16:54:41.000Z;34;8-K;001-34756;201041947;2.02,9.01;21217264;1;1;tsla-8k_20200722.htm;8-K
308;0001771364-20-000012;2020-07-21;2020-07-17;2020-07-21T21:16:28.000Z;;4;;;;4590;0;0;xslF345X03/edgardoc.xml;PRIMARY DOCUMENT
309;0001790565-20-000008;2020-07-14;2020-07-10;2020-07-14T21:58:41.000Z;;4;;;;8501;0;0;xslF345X03/edgardoc.xml;PRIMARY DOCUMENT
310;0001564590-20-032196;2020-07-10;;2020-07-10T17:01:43.000Z;34;DEFA14A;001-34756;201023702;;32676;0;0;tsla-defa14a_20200922.htm;DEFA14A
311;0001584518-20-000008;2020-07-06;2020-07-01;2020-07-06T20:24:56.000Z;;4;;;;8432;0;0;xslF345X03/edgardoc.xml;PRIMARY DOCUMENT
312;0001564590-20-031568;2020-07-02;2020-07-02;2020-07-02T08:01:54.000Z;34;8-K;001-34756;201007229;2.02,7.01,9.01;176088;1;1;tsla-8k_20200702.htm;8-K
313;0001564590-20-031314;2020-06-30;2020-06-24;2020-06-30T17:22:43.000Z;34;8-K;001-34756;201003137;1.01;161801;1;1;tsla-8k_20200624.htm;8-K
314;0001811230-20-000003;2020-06-22;2020-06-18;2020-06-22T19:40:42.000Z;;4;;;;5441;0;0;xslF345X03/edgardoc.xml;PRIMARY DOCUMENT
